order_id,order_date,customer_id,region,category,product,quantity,price,revenue,month
1,2023-01-01 00:00:00,1038,East,Fashion,Shoes,1,19874,19874,2023-01
2,2023-01-01 01:00:00,1236,East,Electronics,Lamp,3,41377,124131,2023-01
3,2023-01-01 02:00:00,1073,West,Grocery,Mixer,2,31666,63332,2023-01
4,2023-01-01 03:00:00,1145,South,Grocery,Headphones,2,9989,19978,2023-01
5,2023-01-01 04:00:00,1130,West,Fashion,Shoes,3,9481,28443,2023-01
6,2023-01-01 05:00:00,1584,South,Fashion,Rice Bag,2,43355,86710,2023-01
7,2023-01-01 06:00:00,1509,East,Electronics,Fryer,3,17375,52125,2023-01
8,2023-01-01 07:00:00,1391,East,Electronics,Rice Bag,3,18100,54300,2023-01
9,2023-01-01 08:00:00,1282,East,Electronics,Fryer,1,20838,20838,2023-01
10,2023-01-01 09:00:00,1179,East,Grocery,Jeans,2,38750,77500,2023-01
11,2023-01-01 10:00:00,1277,South,Fashion,Jeans,3,19890,59670,2023-01
12,2023-01-01 11:00:00,1255,West,Fashion,Laptop,1,13307,13307,2023-01
13,2023-01-01 12:00:00,1358,South,Electronics,Shoes,3,42610,127830,2023-01
14,2023-01-01 13:00:00,1469,East,Home Decor,Lamp,3,11052,33156,2023-01
15,2023-01-01 14:00:00,1253,East,Fashion,Mixer,3,14075,42225,2023-01
16,2023-01-01 15:00:00,1491,North,Electronics,Lamp,2,34913,69826,2023-01
17,2023-01-01 16:00:00,1399,East,Electronics,Laptop,2,8410,16820,2023-01
18,2023-01-01 17:00:00,1563,South,Home Decor,Laptop,3,22824,68472,2023-01
19,2023-01-01 18:00:00,1581,North,Home Decor,Laptop,3,22774,68322,2023-01
20,2023-01-01 19:00:00,1216,South,Grocery,Smartphone,2,34055,68110,2023-01
21,2023-01-01 20:00:00,1504,South,Grocery,Smartphone,2,8223,16446,2023-01
22,2023-01-01 21:00:00,1479,East,Grocery,Laptop,2,27326,54652,2023-01
23,2023-01-01 22:00:00,1087,West,Grocery,Smartphone,1,7259,7259,2023-01
24,2023-01-01 23:00:00,1142,West,Grocery,Jeans,3,12778,38334,2023-01
25,2023-01-02 00:00:00,1394,North,Grocery,Laptop,1,9201,9201,2023-01
26,2023-01-02 01:00:00,1008,East,Fashion,Laptop,1,27882,27882,2023-01
27,2023-01-02 02:00:00,1320,North,Grocery,Jeans,2,3855,7710,2023-01
28,2023-01-02 03:00:00,1535,South,Electronics,T-Shirt,3,40955,122865,2023-01
29,2023-01-02 04:00:00,1314,North,Electronics,Smartphone,2,22381,44762,2023-01
30,2023-01-02 05:00:00,1514,West,Electronics,Rice Bag,2,25052,50104,2023-01
31,2023-01-02 06:00:00,1317,West,Grocery,Shoes,2,5581,11162,2023-01
32,2023-01-02 07:00:00,1210,East,Electronics,Rice Bag,3,33908,101724,2023-01
